- 0x0805b008 Free 92872 was never alloc'd 0xb7df9fc1

Memory not freed:
-----------------
   Address     Size     Caller
0x080703e0      0x7  at 0xb7b4b4c4
0x080703f0     0x14  at 0xb7b4b4c4
0x08070408     0x24  at 0xb7b4ba19
0x08070430      0x6  at 0xb7b4b4c4
0x08070440     0x24  at 0xb7b4ba19
0x08070468      0x5  at 0xb7b4b4c4
0x08070478     0x12  at 0xb7b4b4c4
0x08070490     0x24  at 0xb7b4ba19
0x080704b8      0x7  at 0xb7b4b4c4
0x080704c8     0x14  at 0xb7b4b4c4
0x080704e0     0x24  at 0xb7b4ba19
0x08070508      0x8  at 0xb7b4b4c4
0x08070518     0x24  at 0xb7b4ba19
0x08070540      0x5  at 0xb7b4b4c4
0x08070550      0x7  at 0xb7b4b4c4
0x08070560     0x24  at 0xb7b4ba19
0x08070588      0xa  at 0xb7b4b4c4
0x08070598     0x24  at 0xb7b4ba19
0x080705c0      0x6  at 0xb7b4b4c4
0x080705d0      0x5  at 0xb7b4b4c4
0x080705e8     0x20  at 0xb79399c8
0x08070838     0x24  at 0xb7b4ba19
0x08070860     0x24  at 0xb7b4ba19
0x08070888     0x24  at 0xb7b4ba19
0x080708b0      0x6  at 0xb7b4b4c4
0x080708c0      0x7  at 0xb7b4b4c4
0x080708d0     0x24  at 0xb7b4ba19
0x080708f8      0x5  at 0xb7b4b4c4
0x08070908     0x24  at 0xb7b4ba19
0x08070930      0x7  at 0xb7b4b4c4
